,id,type,n_likes,n_comments
168,169,Sidecar,3679.0,20.0
169,170,Sidecar,591890.0,1773.0
170,171,Sidecar,549570.0,981.0
171,172,Sidecar,536808.0,719.0
172,173,Sidecar,829312.0,2649.0
173,174,Sidecar,527074.0,1135.0
174,175,Sidecar,286834.0,1245.0
175,176,Sidecar,149507.0,483.0
176,177,Sidecar,297685.0,330.0
177,178,Sidecar,251628.0,301.0
178,179,Sidecar,212867.0,166.0
179,180,Sidecar,176203.0,191.0
180,181,Sidecar,153086.0,200.0
181,182,Sidecar,132721.0,182.0
182,183,Sidecar,156183.0,167.0
183,184,Sidecar,180890.0,146.0
184,185,Sidecar,143575.0,167.0
185,186,Sidecar,30679.0,131.0
186,187,Sidecar,42221.0,320.0
187,188,Sidecar,169137.0,209.0
188,189,Sidecar,18078.0,94.0
189,190,Sidecar,2551.0,65.0
190,191,Sidecar,3260.0,96.0
191,192,Sidecar,3187.0,65.0
192,193,Sidecar,2103.0,73.0
193,194,Sidecar,2031.0,55.0
194,195,Sidecar,164197.0,763.0
195,196,Sidecar,1628.0,44.0
196,197,Sidecar,924.0,36.0
197,198,Sidecar,2687.0,49.0
198,199,Sidecar,1466.0,68.0
199,200,Sidecar,1695.0,70.0
200,201,Sidecar,1429.0,45.0
201,202,Sidecar,1133.0,38.0
202,203,Sidecar,107220.0,374.0
203,204,Sidecar,133411.0,527.0
204,205,Sidecar,185861.0,270.0
205,206,Sidecar,162482.0,565.0
206,207,Sidecar,147298.0,142.0
207,208,Sidecar,245634.0,348.0
208,209,Sidecar,186887.0,170.0
209,210,Sidecar,155715.0,210.0
210,211,Sidecar,113716.0,126.0
211,212,Sidecar,16645.0,76.0
212,213,Sidecar,220198.0,228.0
213,214,Sidecar,153650.0,197.0
214,215,Sidecar,15.0,0.0
215,216,Sidecar,9945.0,48.0
216,217,Sidecar,170642.0,284.0
217,218,Sidecar,5466.0,19.0
218,219,Sidecar,177435.0,223.0
219,220,Sidecar,102316.0,139.0
220,221,Sidecar,540617.0,1027.0
221,222,Sidecar,121543.0,182.0
222,223,Sidecar,336161.0,1411.0
223,224,Sidecar,375086.0,1107.0
224,225,Sidecar,326527.0,1161.0
225,226,Sidecar,249830.0,935.0
226,227,Sidecar,269901.0,1133.0
227,228,Sidecar,80.0,1.0
228,229,Sidecar,325.0,4.0
229,230,Sidecar,442878.0,553.0
230,231,Sidecar,571.0,19.0
231,232,Sidecar,63975.0,241.0
232,233,Sidecar,45335.0,189.0
233,234,Sidecar,88711.0,339.0
234,235,Sidecar,43816.0,165.0
235,236,Sidecar,96690.0,328.0
236,237,Sidecar,12272.0,115.0
237,238,Sidecar,1115.0,58.0
238,239,Sidecar,1841.0,7.0
239,240,Sidecar,549404.0,1779.0
240,241,Sidecar,340661.0,1649.0
241,242,Sidecar,536680.0,1973.0
242,243,Sidecar,345163.0,637.0
243,244,Sidecar,375308.0,451.0
244,245,Sidecar,591572.0,1078.0
245,246,Sidecar,204225.0,345.0
246,247,Sidecar,30174.0,361.0
247,248,Sidecar,122725.0,153.0
248,249,Sidecar,122226.0,157.0
249,250,Sidecar,124.0,6.0
250,251,Sidecar,605760.0,669.0
251,252,Sidecar,133.0,3.0
252,253,Sidecar,204707.0,575.0
253,254,Sidecar,100.0,7.0
254,255,Sidecar,91.0,8.0
255,256,Sidecar,475155.0,1355.0
256,257,Sidecar,118.0,14.0
257,258,Sidecar,98700.0,118.0
258,259,Sidecar,128.0,16.0
259,260,Sidecar,28715.0,192.0
260,261,Sidecar,157704.0,457.0
261,262,Sidecar,404896.0,2561.0
262,263,Sidecar,129897.0,224.0
